age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
12 - 18,Female,Alabama,100.0,,
12 - 18,Female,Alaska,100.0,,
12 - 18,Female,Arizona,100.0,,
12 - 18,Female,Arkansas,100.0,,
12 - 18,Female,California,100.0,,
12 - 18,Female,Colorado,100.0,,
12 - 18,Female,Delaware,100.0,,
12 - 18,Female,District of Columbia,100.0,,
12 - 18,Female,Florida,100.0,,
12 - 18,Female,Georgia,100.0,,
12 - 18,Female,Hawaii,100.0,,
12 - 18,Female,Idaho,100.0,,
12 - 18,Female,Illinois,100.0,,
12 - 18,Female,Indiana,100.0,,
12 - 18,Female,Iowa,100.0,,
12 - 18,Female,Kansas,100.0,,
12 - 18,Female,Kentucky,100.0,,
12 - 18,Female,Louisiana,100.0,,
12 - 18,Female,Maryland,100.0,,
12 - 18,Female,Michigan,100.0,,
12 - 18,Female,Minnesota,100.0,,
12 - 18,Female,Mississippi,100.0,,
12 - 18,Female,Missouri,100.0,,
12 - 18,Female,Montana,100.0,,
12 - 18,Female,Nebraska,100.0,,
12 - 18,Female,Nevada,100.0,,
12 - 18,Female,New Mexico,100.0,,
12 - 18,Female,North Carolina,100.0,,
12 - 18,Female,North Dakota,100.0,,
12 - 18,Female,Ohio,100.0,,
12 - 18,Female,Oklahoma,100.0,,
12 - 18,Female,Oregon,100.0,,
12 - 18,Female,South Carolina,100.0,,
12 - 18,Female,South Dakota,100.0,,
12 - 18,Female,Tennessee,100.0,,
12 - 18,Female,Texas,100.0,,
12 - 18,Female,Utah,100.0,,
12 - 18,Female,Virginia,100.0,,
12 - 18,Female,Washington,100.0,,
12 - 18,Female,West Virginia,100.0,,
12 - 18,Female,Wisconsin,100.0,,
12 - 18,Female,Wyoming,100.0,,
12 - 18,Male,Alabama,100.0,,
12 - 18,Male,Arkansas,100.0,,
12 - 18,Male,Delaware,100.0,,
12 - 18,Male,District of Columbia,100.0,,
12 - 18,Male,Florida,100.0,,
12 - 18,Male,Georgia,100.0,,
12 - 18,Male,Kentucky,100.0,,
12 - 18,Male,Louisiana,100.0,,
12 - 18,Male,Maryland,100.0,,
12 - 18,Male,Mississippi,100.0,,
