age,gender,state,prescribe_levothyroxine0_013Oral_Capsule,prescribe_levothyroxine0_025Oral_Tablet,prescribe_levothyroxine0_05Oral_Capsule,prescribe_levothyroxine0_05Oral_Tablet,prescribe_levothyroxine0_075Oral_Tablet,prescribe_levothyroxine0_088Oral_Capsule,prescribe_levothyroxine0_088Oral_Tablet,prescribe_levothyroxine0_112Oral_Tablet,prescribe_levothyroxine0_125Oral_Tablet,prescribe_levothyroxine0_137Oral_Tablet,prescribe_levothyroxine0_15Oral_Tablet,prescribe_levothyroxine0_175Oral_Tablet,prescribe_levothyroxine0_1Oral_Capsule,prescribe_levothyroxine0_1Oral_Tablet,prescribe_levothyroxine0_2Oral_Tablet,prescribe_levothyroxine0_3Oral_Tablet,prescribe_liothyronine0_005Oral_Tablet,prescribe_liothyronine0_025Oral_Tablet,prescribe_thyroid_USP_120Oral_Tablet,prescribe_thyroid_USP_15Oral_Tablet,prescribe_thyroid_USP_180Oral_Tablet,prescribe_thyroid_USP_30Oral_Tablet,prescribe_thyroid_USP_60Oral_Tablet,prescribe_thyroid_USP_90Oral_Tablet
12 - 18,Female,Alabama,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,Alaska,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Arizona,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Arkansas,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,California,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Colorado,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Delaware,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,District of Columbia,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,Florida,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,Georgia,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
12 - 18,Female,Hawaii,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Idaho,,74.05315695219876,,,,,,,25.946843047801238,,,,,,,,,,,,,,,
12 - 18,Female,Illinois,,,,,19.51075072448188,,21.14401331732533,,59.3452359581928,,,,,,,,,,,,,,,
12 - 18,Female,Indiana,,,,,19.51075072448188,,21.14401331732533,,59.3452359581928,,,,,,,,,,,,,,,
12 - 18,Female,Iowa,,,,,19.51075072448188,,21.14401331732533,,59.3452359581928,,,,,,,,,,,,,,,
12 - 18,Female,Kansas,,,,,19.51075072448188,,21.14401331732533,,59.3452359581928,,,,,,,,,,,,,,,
12 - 18,Female,Kentucky,,42.84699652993527,,57.15300347006473,,,,,,,,,,,,,,,,,,,,
